Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram (GB);Memory;Gpu;OpSys;Weight;Price_euros;Total Sales per Day (euros)
Asus;ROG G701VO;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;64;1TB SSD;Nvidia GeForce GTX 980 ;Windows 10;3,58;3975;19875
Razer;Blade Pro;Gaming;17,3;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7820HK 2.9GHz;32;512GB SSD;Nvidia GeForce GTX 1080;Windows 10;3,49;5499;16497
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;3072,89;15364,45
Lenovo;Thinkpad P51;Notebook;15,6;IPS Panel 4K Ultra HD 3840x2160;Intel Xeon E3-1535M v6 3.1GHz;32;1TB SSD;Nvidia Quadro M2200M;Windows 10;2,5;4899;14697
Lenovo;Thinkpad P51;Notebook;15,6;Full HD 1920x1080;Intel Core i7 7820HQ 2.9GHz;16;512GB SSD;Nvidia Quadro M2200M;Windows 10;2,5;2449;12245
Dell;Precision 7520;Workstation;15,6;4K Ultra HD 3840x2160;Intel Xeon E3-1505M V6 3GHz;16;256GB SSD +  1TB HDD;Nvidia Quadro M1200;Windows 10;2,8;3055;12220
Razer;Blade Pro;Gaming;17,3;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7820HK 2.9GHz;32;1TB SSD;Nvidia GeForce GTX 1080;Windows 10;3,49;6099;12198
Lenovo;ThinkPad P70;Notebook;17,3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16;512GB SSD;Nvidia Quadro 3000M;Windows 7;2,4;2968;11872
Dell;Precision M5520;Workstation;15,6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia Quadro M1200;Windows 10;1,78;2712;10848
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4,36;2505,02;10020,08
Dell;XPS 15;Notebook;15,6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7700HQ 2.8GHz;16;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2,06;2399;9596
Dell;Alienware 17;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;3149;9447
Dell;Alienware 17;Gaming;17,3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7700HQ 2.8GHz;32;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;3147,37;9442,11
Dell;Precision 3520;Workstation;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6820HQ 2.7GHz;16;512GB SSD;Nvidia Quadro M620;Windows 10;2,17;2338;9352
Toshiba;Portege X20W-D-10V;Ultrabook;12,5;Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1,1;1790;8950
Asus;Rog Strix;Gaming;17,3;IPS Panel Full HD 1920x1080;AMD Ryzen 1700 3GHz;16;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3,25;2199;8796
HP;Zbook 17;Workstation;17,3;IPS Panel Full HD 1920x1080;Intel Xeon E3-1535M v5 2.9GHz;16;256GB SSD;Nvidia Quadro M2000M;Windows 7;3;4389;8778
MSI;GS60 Ghost;Gaming;15,6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;1,91;2153,37;8613,48
Apple;MacBook Pro;Ultrabook;15,4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16;512GB SSD;AMD Radeon Pro 560;macOS;1,83;2858;8574
Dell;Alienware 17;Gaming;17,3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;32;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4,42;2800;8400
Asus;ROG G701VI;Gaming;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32;512GB SSD;Nvidia GeForce GTX 1080;Windows 10;3,8;2799;8397
Dell;XPS 13;Ultrabook;13,3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,2;2680;8040
MSI;GS73VR Stealth;Gaming;17,3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16;512GB SSD +  2TB HDD;Nvidia GeForce GTX 1060;Windows 10;2,43;2649;7947
Toshiba;Tecra Z50-C-140;Notebook;15,6;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;16;256GB SSD;Nvidia GeForce 930M;Windows 10;2,4;1975;7900
HP;ZBook 17;Workstation;17,3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8;256GB SSD;Nvidia Quadro M3000M;Windows 7;3;3949,4;7898,8
Lenovo;ThinkPad Yoga;2 in 1 Convertible;13,3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8;512GB SSD;Intel HD Graphics 620;Windows 10;1,37;1970;7880
Lenovo;Thinkpad X1;Ultrabook;14;IPS Panel 2560x1440;Intel Core i7 7500U 2.7GHz;16;1TB SSD;Intel HD Graphics 620;Windows 10;1,13;2625;7875
Dell;Latitude E7470;Ultrabook;14;Touchscreen 2560x1440;Intel Core i7 6600U 2.6GHz;8;256GB SSD;Intel HD Graphics 520;Windows 10;1,5;1962,98;7851,92
Apple; ;Ultrabook;15,4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16;512GB SSD;AMD Radeon Pro 455;macOS;1,83;2537,45;7612,35
Asus;ZenBook 3;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16;512GB SSD;Intel HD Graphics 620;Windows 10;1,1;1900;7600
