id,followers_count,wall_comments,comment_count,post_count,like_count,friends_count,group_count,posts_count,reposts_count,verified,videos_count,audios_count,photos_count,gifts_count
1,1670,1,46,7220,96,1683,0,325,107,0,402,2188,10809,61
2,950,1,1,600,18,687,280,320,58,0,205,386,606,0
3,86,1,23,600,338,291,50,23,577,0,5,147,52,8
4,28,1,3,3408,50,192,0,532,472,0,311,392,11654,0
5,367,1,32,702,846,179,216,26,408,0,580,481,89,52
6,156,1,9,799,239,138,94,31,367,0,36,0,242,0
7,2,1,595,148,104,31,0,1,0,0,51,0,29,2
8,104,1,1387,400,91,148,692,45,181,0,111,195,538,0
9,44,1,568,300,353,129,84,0,79,0,17,67,194,0
10,3941,1,179,900,767,92,9624,17,393,0,805,860,1094,47
11,62,0,3,900,760,53,198,15,644,0,14,1,342,30
12,12,1,1,1052,579,32,0,9,868,0,0,0,13,0
13,4,1,3811,200,688,64,82,22,57,0,0,0,656,19
14,2618,1,6,12627,72,1771,0,431,73,0,426,92,5334,130
15,81,1,38,699,368,240,452,38,500,0,436,0,275,0
16,354,1,19,30600,34,2526,0,5948,152,0,291,0,44350,0
17,6,1,824,115,24,55,112,8,12,0,1,3,62,7
18,27,1,504,500,174,54,88,49,451,0,170,0,1167,0
19,284,1,91,700,694,471,870,34,666,0,1960,4469,10405,0
20,100,1,1,1164,187,28,0,4,499,0,25,84,148,8
21,661,1,51,1900,122,96,0,168,1538,0,739,0,1372,35
22,307,1,374,300,207,434,386,8,111,0,761,935,357,0
23,32,1,8,600,91,6,358,5,361,0,1569,0,295,0
24,248,1,4,3963,178,25,844,78,431,0,635,0,941,70
25,52,1,366,4490,779,25,0,150,616,0,796,3013,8206,0
26,23,1,33,700,4257,11,210,132,529,0,18,9,233,0
27,26,1,46,600,746,346,4842,216,236,0,205,2015,3683,26
28,16,1,3437,100,106,18,28,16,51,0,10,2,77,0
29,130,1,1,800,1603,11,0,14,416,0,607,166,503,0
30,174,1,22,1300,897,43,3070,22,939,0,141,1291,413,37
31,134,1,16,3400,551,54,4062,9,2347,0,6607,3772,35,41
32,35,1,12,1859,388,21,0,12,447,0,56,88,33,0
33,226,0,7,500,36,455,1556,7,373,0,555,422,94,19
34,98,1,999,200,193,26,1242,24,140,0,734,1813,1030,0
35,88,1,51,800,134,38,994,52,448,0,13,217,166,4
36,0,1,6,456,53,20,0,9,405,0,1,0,5,0
37,52,1,38,500,185,12,72,38,423,0,38,0,8,0
38,440,1,14,1800,4831,6,1906,65,1113,0,918,0,139,0
39,0,1,2,522,307,14,0,351,171,0,266,0,2286,0
40,18,1,83,600,634,35,0,65,275,0,485,275,561,141
41,40,0,26,6247,177,34,0,46,1223,0,141,0,1525,0
42,2,1,218,756,147,51,364,135,453,0,154,0,256,0
43,5,1,71,1700,102,12,108,89,835,0,124,498,267,6
44,23,1,8,845,232,33,736,52,568,0,96,0,349,18
45,16,1,481,1100,11423,40,266,59,1041,0,38,0,458,0
46,162,1,3,13300,1059,17,1032,5098,7190,0,1169,978,5335,35
47,17,1,5,799,24,3,66,16,388,0,8,4,489,5
48,144,1,29,559,91,19,1220,35,417,0,221,0,157,18
49,0,1,7,448,119,8,950,307,139,0,0,116,97,24
50,131,1,10,512,319,36,820,36,476,0,7,0,117,0
51,707,1,6,11447,1405,512,0,291,333,0,859,0,1607,33
52,79,1,60,500,5474,149,208,0,500,0,1222,0,1218,0
53,90,1,281,500,42,25,0,53,315,0,289,76,69,0
54,382,1,10,500,23,473,1836,489,11,0,552,516,1602,0
55,157,1,13,399,80,317,84,391,8,0,85,72,6745,36
56,282,1,17,2249,75,939,716,95,329,0,186,317,811,0
57,430,1,6,19237,62,73,0,65,2864,0,241,579,395,187
